DIA,PERÍODO,TIPO,HORÁRIO,ATIVIDADE,LOCAL
23,manhã,aberta,08:00 - 08:10,Momento ao Orixá do dia,Youtube e Facebook (IFAM)
23,manhã,aberta,08:10 - 08:20,Momento in memoriam (vítimas da COVID-19),Youtube e Facebook (IFAM)
23,manhã,aberta,08:20 - 09:00,Abertura oficial,Youtube e Facebook (IFAM)
23,manhã,aberta,09:00 - 10:00,Palestra,
23,manhã,aberta,10:00 - 12:00,"Roda de conversa: Festas de terreiro  Lideranças de religiões de matriz africana, mestres e mestras do Axé",Youtube e Facebook (IFAM)
23,manhã,aberta,Ao longo do dia,Propaganda empreendedores,Youtube e Facebook
23,manhã,fechada,09:00 - 11:00,Oficina arte educação,Google Meet
23,manhã,fechada,09:00 - 11:00,Oficina Cenários,Google Meet
23,manhã,fechada,09:00 - 11:00,Oficina de trança Afro,Google Meet
23,manhã,fechada,09:00 - 11:00,Oficina bonecas negras,Google Meet
23,manhã,fechada,09:00 - 11:00,Oficina Plantas que protegem e curam,Google Meet
23,manhã,fechada,09:00 - 11:00,Oficina artesanato ,Google Meet
23,tarde,acadêmica,13:00 - 13:30,Lançamento da Exposição cultural (disponível durante todo o evento),Youtube e Facebook (IFAM)
23,tarde,acadêmica,13:30 - 14:30,Espaço estudantes negros: Suas vivência em Instituições de ensino (vídeos),Youtube e Facebook (IFAM)
23,tarde,acadêmica,14:30 - 16:30,Rodas de conversa: SUS e a situação dos negros na Pandemia,Youtube e Facebook (IFAM)
23,tarde,acadêmica,16:30 - 18:00,Sessões de cinema,Youtube e Facebook (IFAM)
23,tarde,acadêmica,18:00 - 19:30,Palestra 2 – Jones Emanoel,Youtube e Facebook (IFAM)
23,tarde,fechada,13:30 - 16:30,Simpósios temáticos,Google Meet
24,manhã,aberta,08:00 - 08:10,Momento ao Orixá do dia,Youtube e Facebook (IFAM
24,manhã,aberta,08:10 - 08:20,Momento in memoriam (vítimas da COVID-19),Youtube e Facebook (IFAM
24,manhã,aberta,08:20 - 08:10,Momento cultural: Poesias,Youtube e Facebook (IFAM)
24,manhã,aberta,08:20 - 10:30,Roda de conversa Mestres do Marabaixo,Youtube e Facebook (IFAM
24,manhã,aberta,10:30 - 11:30,Conversa com artista Negro.,Youtube e Facebook (IFAM
24,manhã,aberta,11:30 - 12:00,Show cultural: grupo Gambá de Maués,Youtube e Facebook
24,manhã,aberta,Ao longo do dia,Propaganda empreendedores negros,Youtube e Facebook
24,manhã,fechada,08:20 - 10:30,Oficina da cura,Google Meet
24,manhã,fechada,08:20 - 10:30,Oficina beleza negra,Google Meet
24,manhã,fechada,08:20 - 10:30,Oficina bonecas,Google Meet
24,manhã,fechada,08:20 - 10:30,Contação de histórias,Google Meet
24,manhã,fechada,08:20 - 10:30,Oficina Artesanato,
24,tarde,acadêmica,13:30 -,Momento cultural: Poesia,Youtube e Facebook (IFAM)
24,tarde,acadêmica,13:30 - 15:00,Espaço Professores Negros: :Suas vivência em Instituições de ensino (vídeos),Youtube e Facebook (IFAM)
24,tarde,acadêmica,15:00 - 16:30,Roda de conversa: Mulheres Negras: representatividade e resistência,Youtube e Facebook (IFAM)
24,tarde,acadêmica,16:30 - 18:00,Sessões de cinema,Youtube e Facebook (IFAM)
24,tarde,acadêmica,18:00 - 19:30,Palestra:Patricia Sampaio (Aceito),Youtube e Facebook (IFAM
24,tarde,fechada,13:30 - 16:30,Simpósios temáticos,Google Meet 
25,manhã,aberta,08:00 - 08:10,Momento ao Orixá do dia,Youtube e Facebook (IFAM)
25,manhã,aberta,08:10 - 08:20,Momento in memoriam (vítimas da COVID-19),Youtube e Facebook (IFAM)
25,manhã,aberta,08:20 - 08:30,Momento cultural: Onça de te pega - Quilombo do Andirá,Youtube e Facebook (IFAM)
25,manhã,aberta,08:20 - 10:30,Roda de conversa: Pretos e vivências cotidianas,Youtube e Facebook (IFAM)
25,manhã,aberta,10:30 - 11:30,conversa com artista: Música e o projeto Laberé,Youtube e Facebook (IFAM)
25,manhã,aberta,Ao longo do dia,Propaganda empreendedores negros,Youtube e Facebook (IFAM)
25,manhã,fechada,08:20 - 10:30,Oficina Arte Educação,Google Meet
25,manhã,fechada,08:20 - 10:30,Oficina Boneca,Google Meet
25,manhã,fechada,08:20 - 10:30,Oficina Contação de história,Google Meet
25,manhã,fechada,08:20 - 10:30,Artesanato (quilombo do Andirá),Google Meet
25,tarde,acadêmica,13:30 - 13:40,Momento poesia,Youtube e Facebook (IFAM)
25,tarde,acadêmica,13:30 - 14:30,Lançamento de livros (Autores Negros na Amazônia),Youtube e Facebook (IFAM)
25,tarde,acadêmica,14:30 - 16:30,Rodas de conversas: Enegrecendo a política: a ocupação dos espaços institucionais pelo povo preto,Youtube e Facebook (IFAM)
25,tarde,acadêmica,16:30 - 18:00,Sessão de Cinema,Youtube e Facebook
25,tarde,acadêmica,18:00 - 19:30,Palestra – Luana Tolentino ,Youtube e Facebook (IFAM)
25,tarde,fechada,13:30 - 16:30,Simpósios temáticos,Google Meet 
26,manhã,aberta,08:00 - 08:10,Momento ao Orixá do dia,Youtube e Facebook (IFAM)
26,manhã,aberta,08:10 - 08:20,Momento in memoriam (vítimas da COVID-19),Youtube e Facebook (IFAM)
26,manhã,aberta,08:20 - 10:30,Oficina: Empreendedorismo negro,Youtube e Facebook (IFAM)
26,manhã,aberta,10:30 - 12:00,Roda de conversa: negócios de pretas e pretos,Youtube e Facebook (IFAM)
26,tarde,feirafro,,FeirAfro - Empreendedores negros suas histórias e produtos,
26,tarde,aberta,18:00 - 19:30,Encerramento ,Youtube e Facebook (IFAM)
